Band,Mean Anomaly,Median Anomaly,Year
56,-0.2269069,-0.07372865,2005.9963561643835
57,-0.29798773,-0.1639124,2006.2463561643835
58,-0.20528081,-0.14802928,2006.4963561643835
59,0.10921811,0.050650313,2006.7463561643835
60,0.42519224,0.28107184,2006.9963561643835
61,0.3514466,0.26582682,2007.2463561643835
62,0.043777604,0.08134904,2007.4963561643835
63,-0.20474279,-0.040422186,2007.7463561643835
64,-0.24830243,-0.07305399,2007.9963561643835
65,-0.2861407,-0.12318742,2008.2469260273972
66,-0.3708126,-0.23187965,2008.497610958904
67,-0.34588507,-0.22523275,2008.7482958904109
68,-0.21876243,-0.1184425,2008.9989808219177
69,-0.009301761,0.008394524,2009.249095890411
70,0.20368387,0.13832586,2009.499095890411
71,0.35170314,0.23206267,2009.749095890411
72,0.3194181,0.1760903,2009.999095890411
73,0.041690197,0.047203846,2010.249095890411
74,-0.14942846,-0.026022155,2010.499095890411
75,-0.013542171,0.059815407,2010.749095890411
76,0.27865994,0.18626586,2010.999095890411
77,0.34029812,0.19534278,2011.249095890411
78,0.24406944,0.14697671,2011.499095890411
79,0.09584486,-0.014750368,2011.749095890411
80,0.015809795,-0.07731554,2011.999095890411
81,-0.07645375,-0.13216448,2012.2496657534246
82,-0.19559586,-0.22340208,2012.5003506849316
83,-0.07902411,-0.08693521,2012.7510356164385
84,0.06946513,0.053860236,2013.0017205479453
85,0.039200336,0.030354977,2013.2518356164383
86,-0.23067866,-0.18137938,2013.5018356164383
87,-0.60550684,-0.5158997,2013.7518356164383
88,-0.71927935,-0.58770084,2014.0018356164383
89,-0.58528656,-0.4743613,2014.2518356164383
90,-0.21772684,-0.19865775,2014.5018356164383
91,0.17689896,0.09399539,2014.7518356164383
92,0.37547478,0.18544972,2015.0018356164383
93,0.35042068,0.20266616,2015.2518356164383
94,0.29957718,0.19814873,2015.5018356164383
95,0.3659187,0.2542734,2015.7518356164383
96,0.44444156,0.35496944,2016.0018356164383
97,0.389699,0.30729795,2016.2524054794521
98,0.23638788,0.19768392,2016.503090410959
99,0.054674696,0.031435847,2016.7537753424658
100,-0.11330619,-0.14851287,2017.0044602739727
101,-0.16063656,-0.17734529,2017.2545753424658
102,-0.14344731,-0.16100845,2017.5045753424658
103,-0.038313445,-0.07693812,2017.7545753424658
104,0.11729357,0.02327454,2018.0045753424658
